+---------------------------------------------------------------------------------------------------+
| Time of Event | Memory Used |      Partitions State      | Total Free Memory | Usable Free Memory |
+---------------------------------------------------------------------------------------------------+
|       0       |      0      |   -1, -1, -1, -1, -1, -1   |        100        |        100         |
|       100     |      10     |   -1, -1, -1, 11, -1, -1   |        90         |        90          |
|       100     |      25     |   -1, -1, 24, 11, -1, -1   |        75         |        75          |
|       100     |      65     |   1, -1, 24, 11, -1, -1    |        35         |        35          |
|       105     |      55     |   1, -1, 24, -1, -1, -1    |        45         |        45          |
|       125     |      40     |   1, -1, -1, -1, -1, -1    |        60         |        60          |
|       150     |      42     |   1, -1, -1, -1, -1, 50    |        58         |        58          |
|       175     |      49     |   1, -1, -1, -1, 32, 50    |        51         |        50          |
|       221     |      47     |   1, -1, -1, -1, 32, -1    |        53         |        52          |
|       324     |      40     |   1, -1, -1, -1, -1, -1    |        60         |        60          |
|       411     |      0      |   -1, -1, -1, -1, -1, -1   |        100        |        100         |
+---------------------------------------------------------------------------------------------------+
