+---------------------------------------------------------------------------------------------------+
| Time of Event | Memory Used |      Partitions State      | Total Free Memory | Usable Free Memory |
+---------------------------------------------------------------------------------------------------+
|       0       |      0      |   -1, -1, -1, -1, -1, -1   |        100        |        100         |
|       0       |      25     |   -1, 1, -1, -1, -1, -1    |        75         |        75          |
|       0       |      65     |   2, 1, -1, -1, -1, -1     |        35         |        35          |
|       0       |      73     |   2, 1, -1, -1, 8, -1      |        27         |        27          |
|       1000    |      75     |   2, 1, -1, -1, 8, 17      |        25         |        25          |
|       1000    |      85     |   2, 1, -1, 25, 8, 17      |        15         |        15          |
|       2000    |      100    |   2, 1, 78, 25, 8, 17      |        0          |        0           |
|       5050    |      75     |   2, -1, 78, 25, 8, 17     |        25         |        25          |
|       5375    |      67     |   2, -1, 78, 25, -1, 17    |        33         |        33          |
|       6700    |      57     |   2, -1, 78, -1, -1, 17    |        43         |        43          |
|       8100    |      17     |   -1, -1, 78, -1, -1, 17   |        83         |        83          |
|       8750    |      15     |   -1, -1, 78, -1, -1, -1   |        85         |        85          |
|       9004    |      0      |   -1, -1, -1, -1, -1, -1   |        100        |        100         |
+---------------------------------------------------------------------------------------------------+
