+------------------------------------------------------+
| Time of Transition | PID |  Old State  |  New State  |
|        1900        |  17 |   RUNNING   |  READY      |
|        1900        |  25 |   READY     |  RUNNING    |
|        2000        |  78 |   NEW       |  READY      |
|        2000        |  25 |   RUNNING   |  READY      |
|        2000        |  2  |   READY     |  RUNNING    |
|        2050        |  2  |   RUNNING   |  WAITING    |
|        2050        |  8  |   READY     |  RUNNING    |
|        2052        |  2  |   WAITING   |  READY      |
|        2075        |  8  |   RUNNING   |  WAITING    |
|        2075        |  1  |   READY     |  RUNNING    |
|        2100        |  8  |   WAITING   |  READY      |
|        2175        |  1  |   RUNNING   |  READY      |
|        2175        |  17 |   READY     |  RUNNING    |
|        2225        |  17 |   RUNNING   |  WAITING    |
|        2225        |  78 |   READY     |  RUNNING    |
|        2227        |  17 |   WAITING   |  READY      |
|        2325        |  78 |   RUNNING   |  READY      |
|        2325        |  25 |   READY     |  RUNNING    |
|        2350        |  25 |   RUNNING   |  WAITING    |
|        2350        |  2  |   READY     |  RUNNING    |
|        2375        |  25 |   WAITING   |  READY      |
|        2450        |  2  |   RUNNING   |  READY      |
|        2450        |  8  |   READY     |  RUNNING    |
|        2550        |  8  |   RUNNING   |  READY      |
|        2550        |  1  |   READY     |  RUNNING    |
|        2575        |  1  |   RUNNING   |  WAITING    |
|        2575        |  17 |   READY     |  RUNNING    |
|        2600        |  1  |   WAITING   |  READY      |
|        2675        |  17 |   RUNNING   |  READY      |
|        2675        |  78 |   READY     |  RUNNING    |
|        2725        |  78 |   RUNNING   |  WAITING    |
|        2725        |  25 |   READY     |  RUNNING    |
|        2727        |  78 |   WAITING   |  READY      |
|        2825        |  25 |   RUNNING   |  READY      |
|        2825        |  2  |   READY     |  RUNNING    |
|        2875        |  2  |   RUNNING   |  WAITING    |
|        2875        |  8  |   READY     |  RUNNING    |
|        2877        |  2  |   WAITING   |  READY      |
|        2900        |  8  |   RUNNING   |  WAITING    |
|        2900        |  1  |   READY     |  RUNNING    |
|        2925        |  8  |   WAITING   |  READY      |
|        3000        |  1  |   RUNNING   |  READY      |
|        3000        |  17 |   READY     |  RUNNING    |
|        3050        |  17 |   RUNNING   |  WAITING    |
|        3050        |  78 |   READY     |  RUNNING    |
|        3052        |  17 |   WAITING   |  READY      |
|        3150        |  78 |   RUNNING   |  READY      |
|        3150        |  25 |   READY     |  RUNNING    |
|        3175        |  25 |   RUNNING   |  WAITING    |
|        3175        |  2  |   READY     |  RUNNING    |
|        3200        |  25 |   WAITING   |  READY      |
|        3275        |  2  |   RUNNING   |  READY      |
|        3275        |  8  |   READY     |  RUNNING    |
|        3375        |  8  |   RUNNING   |  READY      |
|        3375        |  1  |   READY     |  RUNNING    |
|        3400        |  1  |   RUNNING   |  WAITING    |
|        3400        |  17 |   READY     |  RUNNING    |
|        3425        |  1  |   WAITING   |  READY      |
|        3500        |  17 |   RUNNING   |  READY      |
|        3500        |  78 |   READY     |  RUNNING    |
|        3550        |  78 |   RUNNING   |  WAITING    |
|        3550        |  25 |   READY     |  RUNNING    |
|        3552        |  78 |   WAITING   |  READY      |
|        3650        |  25 |   RUNNING   |  READY      |
|        3650        |  2  |   READY     |  RUNNING    |
|        3700        |  2  |   RUNNING   |  WAITING    |
|        3700        |  8  |   READY     |  RUNNING    |
|        3702        |  2  |   WAITING   |  READY      |
|        3725        |  8  |   RUNNING   |  WAITING    |
|        3725        |  1  |   READY     |  RUNNING    |
|        3750        |  8  |   WAITING   |  READY      |
|        3825        |  1  |   RUNNING   |  READY      |
|        3825        |  17 |   READY     |  RUNNING    |
|        3875        |  17 |   RUNNING   |  WAITING    |
|        3875        |  78 |   READY     |  RUNNING    |
|        3877        |  17 |   WAITING   |  READY      |
|        3975        |  78 |   RUNNING   |  READY      |
|        3975        |  25 |   READY     |  RUNNING    |
|        4000        |  25 |   RUNNING   |  WAITING    |
|        4000        |  2  |   READY     |  RUNNING    |
|        4025        |  25 |   WAITING   |  READY      |
|        4100        |  2  |   RUNNING   |  READY      |
|        4100        |  8  |   READY     |  RUNNING    |
|        4200        |  8  |   RUNNING   |  READY      |
|        4200        |  1  |   READY     |  RUNNING    |
|        4225        |  1  |   RUNNING   |  WAITING    |
|        4225        |  17 |   READY     |  RUNNING    |
|        4250        |  1  |   WAITING   |  READY      |
|        4325        |  17 |   RUNNING   |  READY      |
|        4325        |  78 |   READY     |  RUNNING    |
|        4375        |  78 |   RUNNING   |  WAITING    |
|        4375        |  25 |   READY     |  RUNNING    |
|        4377        |  78 |   WAITING   |  READY      |
|        4475        |  25 |   RUNNING   |  READY      |
|        4475        |  2  |   READY     |  RUNNING    |
|        4525        |  2  |   RUNNING   |  WAITING    |
|        4525        |  8  |   READY     |  RUNNING    |
|        4527        |  2  |   WAITING   |  READY      |
|        4550        |  8  |   RUNNING   |  WAITING    |
|        4550        |  1  |   READY     |  RUNNING    |
|        4575        |  8  |   WAITING   |  READY      |
|        4650        |  1  |   RUNNING   |  READY      |
|        4650        |  17 |   READY     |  RUNNING    |
|        4700        |  17 |   RUNNING   |  WAITING    |
|        4700        |  78 |   READY     |  RUNNING    |
|        4702        |  17 |   WAITING   |  READY      |
|        4800        |  78 |   RUNNING   |  READY      |
|        4800        |  25 |   READY     |  RUNNING    |
|        4825        |  25 |   RUNNING   |  WAITING    |
|        4825        |  2  |   READY     |  RUNNING    |
|        4850        |  25 |   WAITING   |  READY      |
|        4925        |  2  |   RUNNING   |  READY      |
|        4925        |  8  |   READY     |  RUNNING    |
|        5025        |  8  |   RUNNING   |  READY      |
|        5025        |  1  |   READY     |  RUNNING    |
|        5050        |  1  |   RUNNING   |  TERMINATED |
|        5050        |  17 |   READY     |  RUNNING    |
|        5150        |  17 |   RUNNING   |  READY      |
|        5150        |  78 |   READY     |  RUNNING    |
|        5200        |  78 |   RUNNING   |  WAITING    |
|        5200        |  25 |   READY     |  RUNNING    |
|        5202        |  78 |   WAITING   |  READY      |
|        5300        |  25 |   RUNNING   |  READY      |
|        5300        |  2  |   READY     |  RUNNING    |
|        5350        |  2  |   RUNNING   |  WAITING    |
|        5350        |  8  |   READY     |  RUNNING    |
|        5352        |  2  |   WAITING   |  READY      |
|        5375        |  8  |   RUNNING   |  TERMINATED |
|        5375        |  17 |   READY     |  RUNNING    |
|        5425        |  17 |   RUNNING   |  WAITING    |
|        5425        |  78 |   READY     |  RUNNING    |
|        5427        |  17 |   WAITING   |  READY      |
|        5525        |  78 |   RUNNING   |  READY      |
|        5525        |  25 |   READY     |  RUNNING    |
|        5550        |  25 |   RUNNING   |  WAITING    |
|        5550        |  2  |   READY     |  RUNNING    |
|        5575        |  25 |   WAITING   |  READY      |
|        5650        |  2  |   RUNNING   |  READY      |
|        5650        |  17 |   READY     |  RUNNING    |
|        5750        |  17 |   RUNNING   |  READY      |
|        5750        |  78 |   READY     |  RUNNING    |
|        5800        |  78 |   RUNNING   |  WAITING    |
|        5800        |  25 |   READY     |  RUNNING    |
|        5802        |  78 |   WAITING   |  READY      |
|        5900        |  25 |   RUNNING   |  READY      |
|        5900        |  2  |   READY     |  RUNNING    |
|        5950        |  2  |   RUNNING   |  WAITING    |
|        5950        |  17 |   READY     |  RUNNING    |
|        5952        |  2  |   WAITING   |  READY      |
|        6000        |  17 |   RUNNING   |  WAITING    |
|        6000        |  78 |   READY     |  RUNNING    |
|        6002        |  17 |   WAITING   |  READY      |
|        6100        |  78 |   RUNNING   |  READY      |
|        6100        |  25 |   READY     |  RUNNING    |
|        6125        |  25 |   RUNNING   |  WAITING    |
|        6125        |  2  |   READY     |  RUNNING    |
|        6150        |  25 |   WAITING   |  READY      |
|        6225        |  2  |   RUNNING   |  READY      |
|        6225        |  17 |   READY     |  RUNNING    |
|        6325        |  17 |   RUNNING   |  READY      |
|        6325        |  78 |   READY     |  RUNNING    |
|        6375        |  78 |   RUNNING   |  WAITING    |
|        6375        |  25 |   READY     |  RUNNING    |
|        6377        |  78 |   WAITING   |  READY      |
|        6475        |  25 |   RUNNING   |  READY      |
|        6475        |  2  |   READY     |  RUNNING    |
|        6525        |  2  |   RUNNING   |  WAITING    |
|        6525        |  17 |   READY     |  RUNNING    |
|        6527        |  2  |   WAITING   |  READY      |
|        6575        |  17 |   RUNNING   |  WAITING    |
|        6575        |  78 |   READY     |  RUNNING    |
|        6577        |  17 |   WAITING   |  READY      |
|        6675        |  78 |   RUNNING   |  READY      |
|        6675        |  25 |   READY     |  RUNNING    |
|        6700        |  25 |   RUNNING   |  TERMINATED |
|        6700        |  2  |   READY     |  RUNNING    |
|        6800        |  2  |   RUNNING   |  READY      |
|        6800        |  17 |   READY     |  RUNNING    |
|        6900        |  17 |   RUNNING   |  READY      |
|        6900        |  78 |   READY     |  RUNNING    |
|        6950        |  78 |   RUNNING   |  WAITING    |
|        6950        |  2  |   READY     |  RUNNING    |
|        6952        |  78 |   WAITING   |  READY      |
|        7000        |  2  |   RUNNING   |  WAITING    |
|        7000        |  17 |   READY     |  RUNNING    |
|        7002        |  2  |   WAITING   |  READY      |
|        7050        |  17 |   RUNNING   |  WAITING    |
|        7050        |  78 |   READY     |  RUNNING    |
|        7052        |  17 |   WAITING   |  READY      |
|        7150        |  78 |   RUNNING   |  READY      |
|        7150        |  2  |   READY     |  RUNNING    |
|        7250        |  2  |   RUNNING   |  READY      |
|        7250        |  17 |   READY     |  RUNNING    |
|        7350        |  17 |   RUNNING   |  READY      |
|        7350        |  78 |   READY     |  RUNNING    |
|        7400        |  78 |   RUNNING   |  WAITING    |
|        7400        |  2  |   READY     |  RUNNING    |
|        7402        |  78 |   WAITING   |  READY      |
|        7450        |  2  |   RUNNING   |  WAITING    |
|        7450        |  17 |   READY     |  RUNNING    |
|        7452        |  2  |   WAITING   |  READY      |
|        7500        |  17 |   RUNNING   |  WAITING    |
|        7500        |  78 |   READY     |  RUNNING    |
|        7502        |  17 |   WAITING   |  READY      |
|        7600        |  78 |   RUNNING   |  READY      |
|        7600        |  2  |   READY     |  RUNNING    |
|        7700        |  2  |   RUNNING   |  READY      |
|        7700        |  17 |   READY     |  RUNNING    |
|        7800        |  17 |   RUNNING   |  READY      |
|        7800        |  78 |   READY     |  RUNNING    |
|        7850        |  78 |   RUNNING   |  WAITING    |
|        7850        |  2  |   READY     |  RUNNING    |
|        7852        |  78 |   WAITING   |  READY      |
|        7900        |  2  |   RUNNING   |  WAITING    |
|        7900        |  17 |   READY     |  RUNNING    |
|        7902        |  2  |   WAITING   |  READY      |
|        7950        |  17 |   RUNNING   |  WAITING    |
|        7950        |  78 |   READY     |  RUNNING    |
|        7952        |  17 |   WAITING   |  READY      |
|        8050        |  78 |   RUNNING   |  READY      |
|        8050        |  2  |   READY     |  RUNNING    |
|        8100        |  2  |   RUNNING   |  TERMINATED |
|        8100        |  17 |   READY     |  RUNNING    |
|        8200        |  17 |   RUNNING   |  READY      |
|        8200        |  78 |   READY     |  RUNNING    |
|        8250        |  78 |   RUNNING   |  WAITING    |
|        8250        |  17 |   READY     |  RUNNING    |
|        8252        |  78 |   WAITING   |  READY      |
|        8300        |  17 |   RUNNING   |  WAITING    |
|        8300        |  78 |   READY     |  RUNNING    |
|        8302        |  17 |   WAITING   |  READY      |
|        8400        |  78 |   RUNNING   |  READY      |
|        8400        |  17 |   READY     |  RUNNING    |
|        8500        |  17 |   RUNNING   |  READY      |
|        8500        |  78 |   READY     |  RUNNING    |
|        8550        |  78 |   RUNNING   |  WAITING    |
|        8550        |  17 |   READY     |  RUNNING    |
|        8552        |  78 |   WAITING   |  READY      |
|        8600        |  17 |   RUNNING   |  WAITING    |
|        8600        |  78 |   READY     |  RUNNING    |
|        8602        |  17 |   WAITING   |  READY      |
|        8700        |  78 |   RUNNING   |  READY      |
|        8700        |  17 |   READY     |  RUNNING    |
|        8750        |  17 |   RUNNING   |  TERMINATED |
|        8750        |  78 |   READY     |  RUNNING    |
|        8800        |  78 |   RUNNING   |  WAITING    |
|        8802        |  78 |   WAITING   |  READY      |
|        8802        |  78 |   READY     |  RUNNING    |
|        8902        |  78 |   RUNNING   |  READY      |
|        8902        |  78 |   READY     |  RUNNING    |
|        8952        |  78 |   RUNNING   |  WAITING    |
|        8954        |  78 |   WAITING   |  READY      |
|        8954        |  78 |   READY     |  RUNNING    |
|        9004        |  78 |   RUNNING   |  TERMINATED |
+------------------------------------------------------+
