+------------------------------------------------------+
| Time of Transition | PID |  Old State  |  New State  |
+------------------------------------------------------+
|        0           |  1  |   NEW       |  READY      |
|        0           |  2  |   NEW       |  READY      |
|        0           |  8  |   NEW       |  READY      |
|        0           |  1  |   READY     |  RUNNING    |
|        100         |  1  |   RUNNING   |  READY      |
|        100         |  2  |   READY     |  RUNNING    |
|        200         |  2  |   RUNNING   |  READY      |
|        200         |  8  |   READY     |  RUNNING    |
|        300         |  8  |   RUNNING   |  READY      |
|        300         |  1  |   READY     |  RUNNING    |
|        325         |  1  |   RUNNING   |  WAITING    |
|        325         |  2  |   READY     |  RUNNING    |
|        350         |  1  |   WAITING   |  READY      |
|        375         |  2  |   RUNNING   |  WAITING    |
|        375         |  8  |   READY     |  RUNNING    |
|        377         |  2  |   WAITING   |  READY      |
|        400         |  8  |   RUNNING   |  WAITING    |
|        400         |  1  |   READY     |  RUNNING    |
|        425         |  8  |   WAITING   |  READY      |
|        500         |  1  |   RUNNING   |  READY      |
|        500         |  2  |   READY     |  RUNNING    |
|        600         |  2  |   RUNNING   |  READY      |
|        600         |  8  |   READY     |  RUNNING    |
|        700         |  8  |   RUNNING   |  READY      |
|        700         |  1  |   READY     |  RUNNING    |
|        725         |  1  |   RUNNING   |  WAITING    |
|        725         |  2  |   READY     |  RUNNING    |
|        750         |  1  |   WAITING   |  READY      |
|        775         |  2  |   RUNNING   |  WAITING    |
|        775         |  8  |   READY     |  RUNNING    |
|        777         |  2  |   WAITING   |  READY      |
|        800         |  8  |   RUNNING   |  WAITING    |
|        800         |  1  |   READY     |  RUNNING    |
|        825         |  8  |   WAITING   |  READY      |
|        900         |  1  |   RUNNING   |  READY      |
|        900         |  2  |   READY     |  RUNNING    |
|        1000        |  17 |   NEW       |  READY      |
|        1000        |  25 |   NEW       |  READY      |
|        1000        |  2  |   RUNNING   |  READY      |
|        1000        |  8  |   READY     |  RUNNING    |
|        1100        |  8  |   RUNNING   |  READY      |
|        1100        |  1  |   READY     |  RUNNING    |
|        1125        |  1  |   RUNNING   |  WAITING    |
|        1125        |  17 |   READY     |  RUNNING    |
|        1150        |  1  |   WAITING   |  READY      |
|        1225        |  17 |   RUNNING   |  READY      |
|        1225        |  25 |   READY     |  RUNNING    |
|        1325        |  25 |   RUNNING   |  READY      |
|        1325        |  2  |   READY     |  RUNNING    |
|        1375        |  2  |   RUNNING   |  WAITING    |
|        1375        |  8  |   READY     |  RUNNING    |
|        1377        |  2  |   WAITING   |  READY      |
|        1400        |  8  |   RUNNING   |  WAITING    |
|        1400        |  1  |   READY     |  RUNNING    |
|        1425        |  8  |   WAITING   |  READY      |
|        1500        |  1  |   RUNNING   |  READY      |
|        1500        |  17 |   READY     |  RUNNING    |
|        1550        |  17 |   RUNNING   |  WAITING    |
|        1550        |  25 |   READY     |  RUNNING    |
|        1552        |  17 |   WAITING   |  READY      |
|        1575        |  25 |   RUNNING   |  WAITING    |
|        1575        |  2  |   READY     |  RUNNING    |
|        1600        |  25 |   WAITING   |  READY      |
|        1675        |  2  |   RUNNING   |  READY      |
|        1675        |  8  |   READY     |  RUNNING    |
|        1775        |  8  |   RUNNING   |  READY      |
|        1775        |  1  |   READY     |  RUNNING    |
|        1800        |  1  |   RUNNING   |  WAITING    |
|        1800        |  17 |   READY     |  RUNNING    |
|        1825        |  1  |   WAITING   |  READY      |
